sentence,source,target,relation
A white toilet sitting in the woods with a grill grate over the seat.,,white,['toilet']
a shepherd is leading his flock on field,shepherd,field,['leading']
the double bed is decorated with lots of cushions and lit up by little lamps,double,,"['decorated', 'with']"
Someone putting pizza sauce on dough spread across a wooden board.,Someone,wooden,"['spread', 'across']"
Two guys are camping on a mountain under a tent.,Two,,"['camping', 'on']"
the field leave the starting gates in race during event,field,starting,['leave']
american football player warms up during mini camp,american,football,['warms']
a gate opens from the garden to a lane leading onto a city,gate,city,"['opens', 'from']"
silk pink heart with a ribbon .,,pink,"['heart', 'with']"
athletes lift the trophy during the third test match,athletes,third,['lift']
flowers in the grass and butterflies,,grass,"['flowers', 'in']"
boy pulling brother in a wagon,,pulling,['boy']
an old time airplane hanging in the air,,old,['airplane']
a delicate silver lined beaded and scalloped edge is featured on this beautiful bridal veil .,beaded,,"['featured', 'on']"
people vie with stacks of books for room to work .,people,room,"['vie', 'with']"
volcanic activity under meromictic lake produced a cloud of carbon dioxide that asphyxiated villagers,carbon,that,['produced']
i loved these old wooden acrobat toys as a kid .,i,wooden,['loved']
surgeon and nurse next to a patient in a surgical room,,surgical,['surgeon']
visitors pose with rugged cowboys in the mountain town of us census designated place .,visitors,rugged,"['pose', 'with', 'rugged']"
a small space can be discouraging to organize and decorate .,small,,['discouraging']
christmas tree a gift given every year,,christmas,['tree']
finding the number of atoms,,atoms,['finding']
couple sleeping in the grass,,grass,['couple']
politician speaks to aspiring competitors during an event to announce a major initiative .,politician,major,"['speaks', 'to']"
puppies of golden retriever playing on the grass in a beautiful garden on a sunny day,,sunny,"['puppies', 'of', 'golden']"
tall buildings under construction with cranes against a blue sky stock photo,,blue,"['buildings', 'under']"
security personnel stand guard next to a barricade outside the base,security,personnel,['stand']
the sun coming out from behind a cloud and flaring to fill the frame with bright white light,,white,['sun']
Croissants and fruit on a plate with coffee on the side. ,,side,['Croissants']
we are the cosmos made conscious and life is the means by which the universe understands itself .,universe,itself,['are']
time lapse of sunrise over the city with water reflection,,water,"['lapse', 'of']"
grilled shrimp on a plate at the table,,grilled,"['shrimp', 'on']"
a seamless pattern of bamboo tied together creating perfect square .,,perfect,"['pattern', 'of']"
singer performs on day of festival,singer,festival,"['performs', 'on']"
creating a garden for the senses,,senses,['creating']
a female soldier swears during a ceremony .,female,,"['swears', 'during']"
smoke and fire with the trees and sky,,trees,['smoke']
athlete was awarded young player of the year,athlete,young,"['awarded', 'young']"
a fisherman throws his net into the sea on a beach next to the port,fisherman,next,['throws']
little siblings spending an autumn day in the park,,little,['siblings']
The fireman ran into the building that was on fire,that,fire,"['ran', 'into']"
the moon is my favorite planet next to bodies with heliocentric orbit .,moon,heliocentric,['is']
steam rising slowly from cooling towers of a power station,,slowly,['steam']
marine life in the fishes in a reef,,marine,"['life', 'in']"
athlete and challenge for a loose ball,,loose,['athlete']
"On a hot summer day, a child decides to cool off.",hot,summer,['decides']
this map shows where part would be located .,where,,['shows']
A band rehearses in a garage.,band,garage,"['rehearses', 'in']"
A very tall tower with a clock mounted on it's side.,it,clock,"[""'s""]"
a city was built on hills that still give their name to districts of the city .,that,still,"['built', 'on']"
biological species is an essential ingredient to most any delicious dish .,biological,,['is']
portrait of a smiling businessman working in office,,smiling,"['portrait', 'of']"
pilots in the cockpit during a commercial flight,,commercial,"['pilots', 'in']"
bees on lavender in a garden,,garden,"['bees', 'on']"
people and the networks of data that connect them floating through cyber space .,that,cyber,['people']
students learning human language during a course with computers,,human,['students']
lamp on a wall shining,lamp,wall,['shining']
A car pulls into a driveway and women get out.,women,driveway,"['pulls', 'into']"
"Two sunbathers, a man and a woman, soak in the sun.",Two,,"['soak', 'in']"
people gave celebrity a private boat tour when she visited .,when,boat,['gave']
There is a refrigerator decorated to look like a snowman.,,snowman,['is']
A bee lands on a flower.,bee,flower,"['lands', 'on']"
Shaggy cattle with horns graze on grass in a meadow.,Shaggy,,"['graze', 'on']"
a living room with a white couch in the middle ,,white,"['room', 'with']"
a flight comes into land,flight,land,"['comes', 'into']"
suspension bridge and late gothic revival structure with fireworks lighting up the sky as part,,gothic,['bridge']
group in a limousine having drinks on way to party,,party,"['group', 'in']"
friends dining together at a table in a garden,,together,['friends']
A dog and women with baby stroller crossing a bridge.,,baby,['dog']
the property hit the market today,property,market,['hit']
now a slot canyon after part of the roof collapsed .,now,slot,['collapsed']
man unveil curtain receiving bright sunlight after waking up in the morning,curtain,bright,['unveil']
crave my name into the tree,,tree,['crave']
"A pizza with ham, cheese and mushroom toppings.",,cheese,"['pizza', 'with']"
small purple flowers growing in a field with thin petite stems,,petite,['flowers']
isolated note with the text i love myself written with black letters,isolated,,"['note', 'with']"
butterflies eating salty soil and pee on the ground,,salty,['butterflies']
profession hauling a net on the south coast,,south,['profession']
Trains are on tracks in a depot in a city.,Trains,city,"['are', 'on']"
parts of triangles the sides that form the right angle,that,right,"['parts', 'of']"
a cow with a yellow tag on its ear eating grass on the sea shore,,yellow,"['cow', 'with']"
statue of monarch and building,,monarch,"['statue', 'of']"
a tree is covered with names and initials carved into its bark,tree,bark,"['covered', 'with']"
motor yacht in a bay of the red sea .,,red,"['yacht', 'in']"
tourist attraction which includes a temple or place of worship and religious elements,tourist,which,['attraction']
this is my cat hiding under flyers with googly eyes,cat,googly,['is']
football player applauds the fans at the final whistle,football,player,['applauds']
A chocolate donut with a hole in the middle and a partial hole beside it.,,partial,"['donut', 'with']"
A pizza looks a little burnt around the edges.,pizza,edges,['looks']
bride walking down the aisle with her mother,,mother,['bride']
a road turning into an arrow rising upward symbolizing growth and improvement,,upward,['road']
Large black bear with long claws perched in a hollowed out tree. ,,hollowed,"['bear', 'with', 'long']"
"A living room,complete with couches, chairs, mantle, and huge clock on the wall.",,huge,['room']
the color of rocks may be different because of the minerals or other substances that make it up .,it,minerals,"['be', 'different']"
A plane is parked at a runway terminal,plane,runway,"['parked', 'at']"
festival celebrating holiday will be held .,festival,holiday,['held']
"The clock face is lit up on the tower, glowing in the darkness.",clock,face,['lit']
Bunch of people sitting in the snow with snowboards.,,snowboards,"['Bunch', 'of']"
people walk past a poster depicting politician that has been pasted by demonstrators,that,demonstrators,"['walk', 'past']"
view over a city by night with the rising moon,,rising,"['view', 'over']"
the sun rises over tourist attraction,sun,tourist,"['rises', 'over']"
A baby looking at the camera and the camera man asking him if he likes cookies,he,cookies,['baby']
add a splash inside your home with a bright fun floral pattern l studio,,floral,['add']
pendant in yellow gold and platinum set with a rectangular step cut aquamarine framed with diamonds,,step,"['pendant', 'in', 'yellow']"
"A living room with sofa, chairs, television and fireplaces.",,living,"['room', 'with']"
A worker climbs scaffolding in jeans,worker,jeans,['climbs']
black quartz countertops and white custom cabinetry create beautiful contrast within this kitchen .,black,quartz,"['create', 'beautiful']"
politician delivers her speech about membership organisation .,politician,membership,['delivers']
a bus heading for a city stops to let passengers on at bus station .,passengers,bus,['stops']
A soldier fires his gun,soldier,gun,['fires']
a hot dog some French fries and some sauce,hot,,['fries']
cows eating grass at a farm,,farm,['cows']
purchase a serving tray and decorate it for your coffee table or ottoman .,,serving,['purchase']
art director arrives in automobile model .,art,director,"['arrives', 'in']"
cantilever bridge taken from the banks,,cantilever,['bridge']
A man doing fishing by throwing a long fishing rod into the lake very long,man,long,['long']
seamless pattern with image of a little fox in a forest .,,little,"['pattern', 'with']"
open suitcase with things for travel or vacation .,,open,"['suitcase', 'with']"
lichen on mossy trees in a damp forest .,,damp,"['lichen', 'on']"
chairs and a wooden table on a terrace with stone walls,,wooden,['chairs']
An room that has boxes along the walls and a red couch in the middle.,that,red,['room']
acrylic painting of an owl,,acrylic,"['painting', 'of']"
A pack of zebras are grazing in a field by a bonzai tree.,pack,bonzai,"['grazing', 'in']"
grass blowing in the breeze,,breeze,['grass']
Conductor of a train sitting a the station.,,station,"['Conductor', 'of']"
static shot of a forest with its trees slowly moving in moderate winds,static,,"['shot', 'of']"
the outside of the home is lit with colorful mood lighting for drama after dark .,outside,colorful,"['lit', 'with', 'colorful']"
He catches sight of duct tape binding his wrists to the wheelchair.,He,duct,['catches']
another scene features this steam train shot in the mountains,steam,train,['features']
a variety of hard corals compete for space to grow .,variety,hard,"['compete', 'for']"
I cannot understand the language that is written on that sign.,that,sign,['understand']
fireworks explode at the start of the opening ceremony for event at stadium,fireworks,opening,"['explode', 'at']"
how scale and proportion bring balance to a room,how,,['bring']
"A pizza with pepporoni's, peppers, cheese, sauce and herbs.",,pepporoni,"['pizza', 'with']"
football player warms up during training,football,player,['warms']
read more reviews of the product by visiting the link on the image .,,more,"['read', 'more']"
singer performs at a concert for folk rock artist at festival,singer,folk,"['performs', 'at']"
a bold striped rug and yellow cushions bring a white bedroom to life .,rug,,['bring']
comic book character and politician met a number of times over the years .,comic,book,['met']
hang a right at the end of the trail and walk along the cliff .,,cliff,['hang']
A row of people on horses next to a building.,,next,"['row', 'of']"
"A white plate topped with chocolates, donuts and other goodies.",,white,['plate']
mountains reflect on a lake at dusk,mountains,dusk,"['reflect', 'on']"
lights shine from a suburban home at dusk,lights,suburban,"['shine', 'from']"
granddaughter teaches her grandmother to type on the laptop,granddaughter,laptop,['teaches']
athlete in action during a city vs football team,,football,"['athlete', 'in']"
Three zebras in the ground eating dry grass.,,dry,"['zebras', 'in']"
footballer applauds the fans as he leaves the pitch,he,pitch,['applauds']
an exotic species of a flower with an unusual look,,unusual,"['species', 'of']"
upon entering you will feel as if you were transported into a fairytale .,you,fairytale,['feel']
A small plane on a grass runway in the mountains.,,small,"['plane', 'on']"
A brown tower with a clock and a steeple and next to it is a tree.,brown,,['is']
a bridge leading into the city .,,city,['bridge']
decorating the living room for western christian holiday on a budget,,christian,['decorating']
the last remaining structure of buildings .,,remaining,"['structure', 'of']"
love the colors in her hair ... might want to do that next time,,that,['want']
family solves problem at wedding,family,wedding,['solves']
diplomat with politician going to a formal event,diplomat,formal,"['going', 'to']"
the statue of politician looking down a city,statue,city,"['looking', 'down']"
beds of blooming roses in the gardens .,,blooming,"['beds', 'of']"
A steam powered locomotive blowing smoke and moving down a track.,,powered,['locomotive']
a mother and daughter moving into a new home,,new,['mother']
sun breaking out from a cloud over the sea at sunset,sun,sunset,['breaking']
location of the former castle and monastery,,former,"['location', 'of']"
A giraffe standing in the grass chewing on a tree. ,,tree,['giraffe']
a soldier reads a letter from home .,soldier,home,['reads']
A boy is tying another boy's sneaker while talking to his friend.,boy,friend,['tying']
this dog smells a winner in politician for president .,dog,president,['smells']
Two skiers on a trail in the snow.,,Two,"['skiers', 'on']"
"Look in the kitchen shows refrigerator, sink, tv and a microwave",Look,refrigerator,['shows']
tuscan fields and olive trees at sunrise in a mystical fog,,mystical,['fields']
natural light shines on this tub and nearby space,natural,,"['shines', 'on']"
help me find my way through these old trees .,me,old,['help']
knowing the various organs on right side of body,,right,['knowing']
A bathroom with the toilet missing and the room fairly torn up.,missing,,['torn']
treat family and friends to a picnic with a gourmet,,gourmet,['treat']
using bookcases as a bed frame is easy way to build a bed with storage .,bed,frame,"['is', 'easy']"
"A bathroom has no mirror or shower curtain, blue and brown walls, and tan tile.",bathroom,mirror,['has']
woman worshiping a deity in a temple .,,temple,['woman']
"A mall bathroom with vanity, mirror and toilet.",,mall,"['bathroom', 'with']"
maple leaf in the colors of autumn with reflection over rippled water .,,rippled,"['leaf', 'in']"
exposed beams add visual interest to this already spacious kitchen with vaulted ceiling .,exposed,,"['add', 'visual']"
an alert kitten lying down in grass with autumn leaves,,down,['kitten']
a helicopter flies south as planes and helicopters attack a fire approaching,south,,['flies']
enormous wind turbines generate a quarter of electricity .,enormous,wind,['generate']
stormy sky in hdr click the link in my bio,stormy,,['click']
the lovely church before all the guests arrived,guests,,['arrived']
smoke billows from a building on a farm,,smoke,"['billows', 'from']"
An airplane is flying into a puffy cloud.,airplane,puffy,"['flying', 'into']"
type of dish for a leaving party,,leaving,"['type', 'of']"
seething surface of sea water shot in the open sea directly from above,seething,,"['shot', 'in']"
organization prepare to conduct a joint dismounted patrol with soldiers,organization,dismounted,['prepare']
a model walks down the runway during the after party .,model,party,"['walks', 'down']"
"Later, someone pulls a small red car into someone's driveway.",Later,,['pulls']
gold or silver plated stainless steel ring,,,['ring']
happy senior man and woman couple together outside in sunshine waving by the sea on a jetty or pier,,outside,['man']
rays of sunlight bursting through clouds at sunset over the links golf course,,links,"['rays', 'of']"
a passing storm produces a rainbow,passing,,['produces']
boxer gets some help from cheerleaders as they root for his fight .,they,fight,['gets']
spider catching a fly in its web and eating it,,it,['spider']
"Barbecued ribs, corn on the cob, and coleslaw on a white plate.",,white,['ribs']
international airport with the sky and clouds,,international,"['airport', 'with']"
an activist holds a poster during a demonstration .,activist,demonstration,['holds']
frame from a vegetative ornament in the form of a circle .,,vegetative,"['frame', 'from']"
some sunlight breaks through the clouds to light up some trees in a forest .,sunlight,forest,"['breaks', 'through']"
"Box featuring a thing crust pizza with cheese, herbs and other toppings",,thing,['Box']
vehicles are seen burning after blasts at new district in municipality .,vehicles,new,['seen']
an arrow on the blue wall divided into parts,,blue,"['arrow', 'on']"
devotees gather to perform rituals to the rising sun during festival,devotees,rising,['gather']
snowy beaten trail in the middle of forest,,beaten,"['trail', 'in']"
"The salad in this container is made of carrots, green beans, and zucchini. ",salad,carrots,"['made', 'of']"
A train engine and several cars moving along a track in a city.,,several,['engine']
shaded earth turning on itself with grid and blue connections in the space,shaded,,"['turning', 'on']"
stone building in the historic village framed by trees,,historic,"['building', 'in']"
simple earrings with a long chain in gold plated silver with white topaz,,white,"['earrings', 'with']"
a helicopter comes in for a landing at a military base,helicopter,military,['comes']
the beautiful landscape with field with green wheat and stormy sky with dark clouds,,dark,"['landscape', 'with']"
football player warm up during the match,football,player,['warm']
action on the pitch in the clash on sunday was overshadowed by events all around the stadium,action,all,"['overshadowed', 'by']"
team observe a minute of silence for athlete during the match .,team,match,['observe']
A mostly empty luggage claim in an airport with a pallet stacked to the ceiling with luggage.,,empty,"['claim', 'in']"
sheep grazing on green grass on a farm,,green,['sheep']
a container ship is unloaded and refueled .,container,ship,['unloaded']
Woman getting piece from a two-tier blue and white cake with star decorations.,Woman,blue,['getting']
this boat would be easy to find if lost at sea .,boat,sea,"['be', 'easy']"
clouds like massive wings moving across the sky .,,massive,"['clouds', 'like', 'massive']"
students in a classroom looking at a laptop .,,laptop,"['students', 'in']"
tourist attraction from bridge with old railway station to left,,old,"['attraction', 'from']"
The musicians are practicing in an empty room.,musicians,empty,"['practicing', 'in']"
politician and celebrity spoke during a dinner at the summit last week .,politician,summit,"['spoke', 'during']"
Thre menbers of the guard are standing to attention and saluting.,Thre,,"['standing', 'to']"
candles you need to add some extra fire to your holiday,you,extra,['candles']
a old television with a remote in front of it ,,old,"['television', 'with']"
the squad warm up in extreme fog during training .,squad,extreme,['warm']
time lapse shot of train arriving at the mountain village,time,lapse,"['arriving', 'at']"
flowers seeding biological species some opened after releasing seeds,biological,,['flowers']
politician paid a visit for her tour with politician .,politician,politician,['paid']
actor in conversation with comedian as he signs copies of his new book at bookstore .,he,new,"['actor', 'in']"
The hotel room has a brown print bedspread and drapes to match.,hotel,room,['has']
athlete leads the way against team usa before event,athlete,team,['leads']
a splash of green adds color to the serene bedroom,,serene,"['splash', 'of', 'green']"
fans celebrate following the match .,fans,match,['celebrate']
white bunny rabbit sniffing around the grass and a carrot in selective black and white,white,bunny,"['sniffing', 'around']"
work began with the stadium now the home having opened .,now,,"['began', 'with']"
motorcycle with a sidecar parked in an alleyway,,alleyway,"['motorcycle', 'with']"
ethnicity are a marathi community of fishermen they own their village along the western coast of the city,marathi,they,['are']
grass growing on a green roof,,green,['grass']
There is a lady smiling down at a pizza.,,pizza,['is']
old abandoned barn in the region surrounded by young peas,,young,"['barn', 'in']"
young happy family with kids woke up in the bed,happy,,['woke']
water comes into play on both courses,water,courses,"['comes', 'into']"
students and alumni participated at main campus,students,main,"['participated', 'at', 'main']"
A man spreads marinara sauce onto raw dough as he is in the process of making pizza.,raw,marinara,['spreads']
australian rules footballer wins a high ball,australian,rules,['wins']
another night in the tractor bailing hay,,hay,"['night', 'in']"
actors attend the ceremony honoring actor with a star on tourist attraction held .,actors,tourist,['attend']
a herd of horses graze in a pasture during the autumn,herd,autumn,"['graze', 'in']"
portrait of a mother hugging her baby in hands and looking to her baby with love,,love,"['portrait', 'of']"
boat passes under the bridge,boat,bridge,"['passes', 'under']"
engineer working on aircraft model,,aircraft,['engineer']
person returns a serve against coeducation school during the game played .,person,coeducation,['returns']
narrow canyon with vertical walls on both sides .,,vertical,"['canyon', 'with', 'vertical']"
building function and shop in the town,,building,['function']
how are the theme and central idea developed throughout the text .,how,,"['developed', 'throughout']"
the main road connecting a city to other cities and towns,,other,['road']
how to know if buying a vacation home is right for you,how,,['know']
scout leading the way through the fog,,fog,['scout']
A plane is just lifting off the runway.,plane,just,['lifting']
astronaut floating in space as the sun rises on alike planet .,sun,alike,['astronaut']
us census designated place is located along the northwest coast and features epic views .,place,epic,['designated']
cats all over the world ask this question after the holidays,cats,all,['ask']
bonfire burning by the forest with red wooden bench standing by on sunny day,,sunny,['bonfire']
i love this colour in his hair,i,hair,['love']
A Delta airplane takes off of the runway.,Delta,airplane,['takes']
cities in click to open the map and the cities locations,,map,"['cities', 'in']"
late gothic revival structure has separate levels for traffic and pedestrians,gothic,revival,"['has', 'separate']"
tractor cultivating the soil and preparing a field for planting,,planting,['tractor']
sea of cloud in the valley,,valley,"['sea', 'of']"
boxer taking a punch to the face,,face,['boxer']
a farmer rakes hay in a meadow far above the village,farmer,far,['rakes']
A bowl of oranges and other fruits piled on top of each other.,,other,"['bowl', 'of']"
"A bathroom contains a shower, toilet and a sink.",bathroom,shower,['contains']
an early morning shot with boats and yachts moored and reflected in the still marina,,still,"['shot', 'with']"
this snap was taken in the desert at twilight and appeared in magazine .,snap,magazine,"['taken', 'in']"
computer mouse connected to a globe .,,computer,['mouse']
an aircraft flying over mountains .,,mountains,['aircraft']
"Sunlight hits piles of fresh fruit, including apples.",Sunlight,fresh,['hits']
religious leader blesses a priest during his weekly general audience,religious,,['blesses']
a traditional tray of meal for dinner or lunch,,traditional,"['tray', 'of']"
statue of builder carrying a cross,,cross,"['statue', 'of']"
a giant moth emerging from its cocoon,,giant,['moth']
concrete gravity dams are constructed such that their own weight resist the forces exerted upon it,own,,"['constructed', 'such']"
community celebrating the festival on thursday .,,thursday,['community']
smiles were the order of the day as students received their diplomas sunday afternoon .,students,diplomas,['were']
A cashier is ringing up the customer.,cashier,customer,['ringing']
protesters gather for a may day demonstration in front .,protesters,may,"['gather', 'for']"
White walled bathroom with black cabinets and red curtain.,,black,"['bathroom', 'with', 'black']"
fountain at the entrance to the city park,,city,"['fountain', 'at']"
the team is honored during recurring competition .,team,recurring,"['honored', 'during']"
happy typographic poster with a bunny and decorated eggs .,,bunny,"['poster', 'with']"
explore the mansion that is the most expensive home ever listed and soon to be sold .,that,mansion,['explore']
bedroom with sleek style and a giant mirror,,sleek,"['bedroom', 'with', 'sleek']"
a road closed for roadworks in a small village,road,small,"['closed', 'for']"
let the light emerge in your bathroom .,light,bathroom,['let']
A train traveling through a forest filled with trees.,,trees,['train']
a building under construction on fire,,fire,"['building', 'under']"
matches on a row with one burned,,one,"['matches', 'on']"
farmer with a tablet evaluates young wheat on the field,farmer,young,"['evaluates', 'young']"
multirole fighter performs a test flight .,multirole,fighter,['performs']
fictional character painted in a gown designed by organisation founder for her coronation as person,,fictional,['character']
Two skiers traveling down a snowy mountain on skis.,,snowy,['skiers']
high definition time lapse of a beautiful sky with big dark clouds over the mountains shot in the evening,high,definition,"['shot', 'in']"
"Potatoes, broccoli, carrots and meat with sauce on a plate.",,plate,['Potatoes']
wild flower growing through crack in the tiled pavement,wild,,"['growing', 'through']"
a statue named is made out of recycled steel along street,statue,recycled,"['made', 'out']"
A man is seen moving in and out of frame assembling a bike.,man,in,['seen']
tattoo ... with the stars ... i think im in love,i,love,['think']
a sheet with table of some numbers and falling coins of currency,,falling,"['sheet', 'with']"
"Two pizza pies, one cheese and one pepperoni, on a table.",,one,['pies']
i want to darken the walls in my living room .,i,living,['want']
"Downstairs, someone punches buttons on the security system, enters the basement workroom, and eyes the iron man suits.",basement,eyes,['punches']
automobile model ... this is the car we are thinking about buying either in white or black .,we,white,['is']
officials joined local leaders and community members at annual event,officials,annual,"['joined', 'local']"
guests throwing confetti over the couple at a wedding,,wedding,['guests']
astronaut works outside the space station .,astronaut,space,"['works', 'outside']"
soldiers in vehicles protecting the boundaries of the airport .,,airport,"['soldiers', 'in']"
The bathroom with blue and orange surfaces and grey floor.,,blue,"['bathroom', 'with', 'blue']"
close up of female elegant hands with red nails typing text on keyboard of laptop .,red,,['close']
slow motion seamless looping of breaking waves at the coast,,breaking,"['looping', 'of']"
a young tree grows inside protected site .,young,,"['grows', 'inside']"
olympic athlete inspired football team to victory over football team,olympic,athlete,['inspired']
politician speaks to aspiring competitors during an event to announce a major initiative .,politician,major,"['speaks', 'to']"
armed force ... serving country at home and around the world,,serving,['force']
love the green wall with grey couch and white accessories .,,couch,['love']
little boy writing book on the sofa in the living room at home,little,,['writing']
celebrity and politician arrive at the dedication ceremony,celebrity,dedication,"['arrive', 'at']"
A bull laying down in a field by a tree.,,tree,['bull']
politician and his wife arrived .,politician,,['arrived']
"The students stand, stunned into silence.",students,silence,['stand']
pilgrims watch sunrise as the sun rises .,sun,sunrise,['watch']
a juvenile goat eats hay from a feeder on a farm,juvenile,,['eats']
a deer walks through protected site .,,protected,"['walks', 'through']"
A woman is sitting as she plays musical tunes on a harp.,she,musical,['sitting']
monk is preparing lanterns for a ceremony by the bodhi tree inside the temple,monk,bodhi,['preparing']
Someone catches sight of something; he turns to someone with shock in his eyes.,he,eyes,"['turns', 'to']"
bottom jeans looked updated and chic paired with a textured blazer and the right accessories .,bottom,jeans,['looked']
politician welcomes military families as the first to see the holiday,politician,military,"['welcomes', 'military']"
a city with old bridge over the canal,,old,"['city', 'with', 'old']"
Two people play badminton on a court at a gym.,Two,,['play']
the bay leads directly into sea and with deeper waters and live reefs .,bay,deeper,['leads']
time lapse of clouds over the rocks,,time,"['lapse', 'of']"
terraces against rugged mountains descending into valley,,rugged,"['terraces', 'against', 'rugged']"
child lying down with a lion in a dark place and light shining on her face,,dark,['child']
"The vase holds two large, pink roses whose petals have fully opened.",pink,,['holds']
hiking trail in a forest,,hiking,"['trail', 'in']"
statue of liberty on a sunny day,,sunny,"['statue', 'of']"
melt the chocolate with butter over low heat in a medium saucepan .,,medium,['melt']
tennis player comes into tennis tournament without a competitive match since division,tennis,player,"['comes', 'into']"
teacher and pupil talking in a classroom,,classroom,['teacher']
the traditional tower has existed but the current structure was built,current,,['existed']
airplanes flying above the parade,,parade,['airplanes']
arranging books by color ... also known as the right way of arranging books .,,right,['arranging']
green grass in a flowerpot isolated on white,,green,"['grass', 'in']"
plane nearly lands on runway as another flight departs politician,plane,nearly,"['lands', 'on']"
A train maintenance vehicle sits on train tracks.,train,maintenance,"['sits', 'on']"
a creature of myth and fantasy the dragon is a fierce monster with horns and large teeth,dragon,fierce,['is']
"A fruit basket with oranges, pears, an passion fruit.",,fruit,"['basket', 'with']"
railway bridge on a sunny winter day with towers,,sunny,"['bridge', 'on']"
aerial drone shot flying low over pine forests into a thick fog during sunrise,aerial,,['shot']
get the lighting right by adding these grey toned candles to any room that needs that extra ambience .,toned,,['get']
church still stands in what is now the town of a city,still,,"['stands', 'in']"
we look at how alcohol negatively impacts sleep and the effects of alcohol on sleep .,how,,"['look', 'at']"
a table from a flea market covered with old tools,,old,"['table', 'from']"
in a city the lightning created a dramatic scene in the skies during the night,lightning,dramatic,['created']
holiday fireworks exploding over bridge .,,holiday,['fireworks']
dimly lit bathroom with towels hanging beside the toilet,,lit,"['bathroom', 'with']"
cat being inspected by a vet,cat,vet,"['inspected', 'by']"
A bulldozer is flattening and moving earth in an open field,bulldozer,open,['flattening']
edition of magazine with a beautiful cover .,,beautiful,"['edition', 'of']"
food stall to attract the tourists,,food,['stall']
politician visited country to witness a city,politician,city,['visited']
a parasol on the beach by sea,,sea,"['parasol', 'on']"
"The boy turns, looking over his shoulder.",boy,shoulder,['turns']
professional athlete reacts in qualification at the events,professional,,"['reacts', 'in']"
boats stranded by the tide on the foreshore,,foreshore,['boats']
tug boat towing a container ship,,container,['boat']
the referee decided to stop the fight and award the win,referee,win,['decided']
man feeding wild pigeons on the street,,wild,['man']
somebody that is eating a hotdog with a bun,that,bun,['somebody']
A red train leaving a train station with man watching.,red,train,['train']
volunteers build a piece of playground equipment,volunteers,playground,['build']
cluster of fresh ripe red grape with leaves in the garden ready to be harvested,,red,"['cluster', 'of', 'fresh']"
the guests take shelter from the sudden downpour of rain during the ceremony .,guests,sudden,['take']
canoes floating on a peaceful lake,,peaceful,['canoes']
politician arrives on stage during an event .,politician,event,"['arrives', 'on']"
A pizza cooking in a stone oven next to fire.,,next,"['cooking', 'in']"
drowning and reaching out hand for help,,help,['drowning']
autumn landscape in a field with a forest in the distance .,,autumn,"['landscape', 'in']"
an image of a boy and his dad baking cake,,boy,"['image', 'of']"
Man and woman feeding grass to a giraffe.,,giraffe,['Man']
A plate that has four hotdogs and buns with a bottle of ketchup and mustard next to it.,that,next,['plate']
An orange tabby cat is curled on top of a black bag.,orange,tabby,"['curled', 'on']"
country is home to countless waterfalls that attract visitors from across the world .,countless,,['is']
the pack of runners makes its way down a city at the beginning .,pack,beginning,['makes']
profession checking their nets on the sea at sunrise,,sunrise,['profession']
a cat improves the garden wall in sunshine and the hearth in foul weather,cat,foul,['improves']
Two vases of roses and carnations adorn this table.,Two,,['adorn']
biological species covers the forest floor and its leaves move in the wind .,forest,leaves,['covers']
politician faces the crowd at a town hall meeting,politician,town,['faces']
a second bathroom adds value to your home .,second,,['adds']
She turns and scans the room.,She,room,['turns']
Many motorcycles and bikers in a parking lot.,,Many,['motorcycles']
train approaches a station after a long journey through the hills,train,long,['approaches']
religious leader celebrates western christian holiday,religious,,"['celebrates', 'western']"
we accept the love we think we deserve tattoo,we,tattoo,['accept']
"People, followed by people cross the hall to someone's room.",People,room,['cross']
white painted houses in village overlooking river with the tide out,white,painted,"['houses', 'in']"
sofa in grey with red chairs to compliment and add flare to the room .,,red,"['sofa', 'in']"
suspension bridge and tourist attraction on a bright spring day,,bright,['bridge']
pouring syrup on the pancakes,,pancakes,['pouring']
tourist attraction featuring a park as well as an individual male,,tourist,['attraction']
close up detail of building function on the stone wall in vintage style,,vintage,['close']
what it feels like to be living in a place after traveling around the world,it,world,['feels']
how to build a computer for venture funded company,,funded,['build']
mother and daughter smelling flowers in the living room,,smelling,"['flowers', 'in']"
a cat resting on a tree .,,tree,['cat']
an ancient defensive bridge giving access to town,,defensive,['bridge']
road through a city with tree and flat style,,tree,"['road', 'through']"
a grand staircase and iron railing leading to colourful old buildings in the section,,old,['staircase']
wooden window and flowers on the windowsill,,wooden,['window']
reveal shot of aa green airplane flying over clouds view from a window on an engine,,green,"['view', 'from']"
an attractive lady sings an opera to patrons at the theater,attractive,,['sings']
the ceiling of the master bedroom creates the atmosphere of an otherworldly garden .,ceiling,otherworldly,['creates']
Two trains driving down tracks during the day.,,Two,['trains']
mix of bold pattern adds interest to any room,mix,bold,['adds']
i really do have a thing for walls of framed art,i,framed,['have']
shot of a surgeon looking at a monitor in an operating room,,operating,"['shot', 'of']"
a model wears a creation by person during event,model,event,['wears']
an employee of talks to stranded tourists waiting at the airport to be evacuated,employee,stranded,['evacuated']
empty wooden pier with dark stormy clouds over sea and yellow fishing boat in the distance,,sea,"['pier', 'with', 'dark']"
late gothic revival structure and building on the campus .,,gothic,['structure']
celebrity seemed in high spirits as she flashed a smile while shopping,high,,"['seemed', 'in', 'high']"
