text,SRC,REL,TGT
view of local train traveling on rail tracks with flourishing cherry blossoms along the railway,view,of,train
airplane taking off with clouds in the sky,airplane,taking,clouds
two trays with cups of coffee and frosted donuts ,trays,with,cups
rain drops on windshield while driving on highway .,rain,drops,windshield
a creature of myth and fantasy the dragon is a fierce monster with horns and large teeth,creature,of,myth
wind turbines at a wind farm through a field of wheat .,turbines,at,farm
world famous statue of liberty in the distance on a late autumn day,statue,of,liberty
flock of the parrot biological species resting in a dead tree,flock,of,species
most visited cities in the world,cities,visited,world
The direction of the scrolling letters change from bottom to top and now they're in the middle.,direction,of,letters
A women is holding a jar that is making noise and has other items inside.,women,holding,jar
road to the mountains through the desert at sky with clouds,road,to,mountains
"A train is on train tracks, reflecting low sunlight. ",train,on,tracks
country and olympic athlete had to survive some tough shots in the first half,country,had,shots
"The interior of a modern bathroom including toilet, shower, and cabinet",interior,of,bathroom
celebrity and politician arrive at the dedication ceremony,celebrity,at,ceremony
politician said the city expects to be named the host during an event .,politician,said,event
siblings giving gifts to each other at christmas at their grandparents,siblings,giving,gifts
storm clouds gathering over a field of ripe barley,clouds,gathering,field
biological genus flying around the entrance to their hive .,genus,flying,entrance
cherry blossoms against a blue sky,blossoms,against,sky
fishermen pushing boat into the sea,fishermen,pushing,boat
the thing i love more than all other things is when dogs act like humans .,thing,love,things
governor and organization leader looks on as organization leader speaks at the annual general meeting,governor,looks,meeting
coupe in white with gold trim to match the colors .,coupe,in,trim
A very tall dome structure with a clock on it's side.,structure,with,clock
targets write an equation of a line given information about the graph .,targets,write,equation
chicken lays giant egg with another egg inside,chicken,lays,egg
beach at island and scottish dish in the distance,beach,at,island
walls add refinement to the room with slanted ceiling,walls,add,room
The giraffe is eating from the feeder up high on the tree.,giraffe,eating,feeder
Convertibles are driving swiftly down the highway.,Convertibles,driving,highway
famous falling tower with a clock in old town,tower,falling,clock
olympic athlete reacts after missing a chance to score against country during their match .,reacts,after,chance
a herd of sheep walk on a grassy hill,herd,of,sheep
a barge or narrow boat moored up near the wharf,boat,moored,wharf
Pigeons gather to eat pizza on the sidewalk.,Pigeons,gather,pizza
"The plate contains greens, carrots, meat and stuffing.",plate,contains,greens
environmentalist and his wife arrive at the party,environmentalist,arrive,party
wild turkeys strutting their stuff for the ladies,turkeys,strutting,stuff
snowy summit looked south toward a city .,summit,looked,city
crew sit on the rail as wind strengthens .,crew,sit,rail
extremely wide shot of tourists watching a waterfall in the jungle,shot,of,tourists
many a tourist comes especially for the church and monastery atop the hill,tourist,comes,church
A young teen boy plays the guitar hooked up to recording equipment.,boy,plays,guitar
multirole fighter makes the first vertical landing on a flight deck at sea aboard the amphibious assault ship,fighter,makes,landing
ship leaving the harbor with blue sky and clouds .,ship,leaving,harbor
an ancient city was found within the jungles .,city,found,jungles
"The student nods uneasily, flashes a meek smile, and faints.",student,nods,smile
invention at twilight with a lingering orange glow in the sky and silhouetted trees,invention,at,twilight
huge brackets support an upper balcony on a home in historic district,brackets,support,balcony
bartender prepares cocktail with vegetables and shrimp at restaurant,bartender,prepares,cocktail
solar roof tiles installed on a home is hard to distinguish from its normal counterpart .,tiles,installed,home
biological genus in a pond surrounded by its leaves,genus,in,pond
a beautiful window provides both light and privacy in a master bathroom .,window,provides,light
an international team of scientists has discovered the first evidence of dinosaurs .,team,of,scientists
these celebrities stole the show with their impeccable style .,celebrities,stole,show
light generated by a light bulb,light,generated,bulb
group of young students writing notes in the classroom,group,of,students
hotels on the beach in the resort,hotels,on,beach
A baby coo's and crawls towards a purple pillow that's placed on the floor.,coo,crawls,pillow
the coach makes final preparations with his players during training on thursday,coach,makes,preparations
portrait of a leopard resting in the cage of a zoo,portrait,of,leopard
new building being constructed for a city,building,constructed,city
rising mist in the morning,mist,rising,morning
The snowboarder is grinding a rail.,snowboarder,grinding,rail
a colossal statue of military commander wearing the double crown,statue,of,commander
a plaid inspired wedding styled shoot on a quiet farm tucked away in the mountains .,plaid,inspired,shoot
face of a cat staring intently,face,of,cat
building function reflected in the water .,function,reflected,water
wooden walkway leading to the sea,walkway,leading,sea
Three zebra's wagging their tails and eating hay.,zebra,wagging,tails
bright colours around an island that is risen up in the sky with flowers and nature on it .,colours,around,island
A mother and daughter at a fountain,mother,at,fountain
athlete is seen with his wife in a car upon his arrival .,athlete,seen,wife
greenish light from an aurora as seen from space over country,light,from,aurora
people gather to attend a rally in support of politician in what organizers are calling person .,people,gather,rally
national park with moving cloud in the morning,park,with,cloud
fans leave building as they make their way towards stadium for the match,fans,leave,building
lapse of fog and clouds rolling over the mountain green hills,lapse,of,hills
a small road leading to a house on a cliff overlooking the ocean,road,leading,house
winning athletes glowing following the medal ceremony .,athletes,winning,ceremony
A huge commercial airplane comes down the runway.,airplane,comes,runway
A library with two green chairs and a table.,library,with,chairs
embroidered fabric with a flower pattern,fabric,embroidered,pattern
daisies in a meadow moved by the wind,daisies,in,meadow
customer in a supermarket struggling to reach the top shelf,customer,in,supermarket
a hen or female ducks takes flight from a marsh,ducks,takes,flight
floating vanity in the bathroom with storage,vanity,floating,bathroom
The two boys practicing martial arts are being watched by others.,boys,practicing,arts
cargo is loaded on the ship headed,cargo,loaded,ship
The people are using telescopes to view things in the distance.,people,using,telescopes
the cruise ship docked in the port of town,ship,docked,port
the couple were officially married in small civil ceremony yesterday but reaffirmed their vows at church today,couple,married,ceremony
mother and baby lay on the ground together smiling,mother,lay,ground
church on top of the world,church,on,top
view from the memorial bridge with a big cargo ship passing by,view,from,bridge
The direction of the scrolling letters change from bottom to top and now they're in the middle.,direction,of,letters
fans celebrates the scored goal against country during the final match .,fans,celebrates,goal
the sorry state of this road that people use everyday tells its own story,state,of,road
A bathroom being remodeled with a toilet missing the tank lid.,bathroom,remodeled,toilet
Two giraffes are on a plain with water.,giraffes,on,plain
olympic athlete reacts to a missed chance as football team dumped football team,reacts,to,chance
young woman stuffing a pillow case on top of a bed,woman,stuffing,case
Two giraffes in their enclosure in a zoo look around.,giraffes,in,enclosure
volcanic activity under meromictic lake produced a cloud of carbon dioxide that asphyxiated villagers,activity,under,cloud
"Lifting another hatch, the teen finds it packed with life jackets.",teen,finds,hatch
pan from remains to ruins of baths,pan,from,remains
honeybee covered in pollen on a pale yellow flower,honeybee,covered,pollen
man and coach during a training session for rugby union team .,man,during,session
our boat awaits for the cruise on lake,boat,awaits,cruise
A bathroom features a circle shaped sink and mirror. ,bathroom,features,sink
automobile model ... reminds me of a car from high school,model,reminds,car
A man serving pieces of a train shaped cake to children.,man,serving,pieces
flock of sheep with a shepherd in mountains,flock,of,sheep
horses eating grass on a meadow,horses,eating,grass
the bride chose glorious flowers for the bouquets,bride,chose,flowers
passengers exit a train at the station .,passengers,exit,train
this recipe comes from our book .,recipe,comes,book
chancellor of politician holds his briefcase which contains the budget,chancellor,of,briefcase
the motorcade taking monarch and the duke to the city,motorcade,taking,monarch
A black cat staring into the distance in a room,cat,staring,distance
wedding hairstyle with a flower,hairstyle,with,flower
life in the many organisms survive in a specific climate due to their adaptations .,life,in,organisms
identifying numbers page the atoms of different elements contain different numbers of protons .,numbers,page,elements
a foreclosed home for sale,home,foreclosed,sale
Two tagged sheep are standing on a blanket of straw inside a pen.,sheep,tagged,blanket
a bullet smashed through the window of this bedroom where a child was sleeping .,bullet,smashed,window
players lie on the pitch after their shock euro loss,players,lie,pitch
the cactus is flower in desert .,cactus,in,desert
a moving aerial view with the islands and cruise ships in view,view,moving,islands
"A huge grilled hamburger sandwich with romaine lettuce,  tomato and gherkin pickles on the side.",sandwich,grilled,lettuce
The clock has been decorated with glowing lights.,clock,decorated,lights
a group of sheep are grazing along the grass by the lake,group,of,sheep
type of place of worship of artwork showing a temple or place of worship and religious aspects,type,of,place
The sleeping cat is reflected in the mirror.,cat,sleeping,mirror
construction nears completion on the new building,construction,nears,completion
a mother giraffe and her calf standing in a plain,giraffe,standing,plain
A bedroom with carpeted floors and black floral wallpaper. ,bedroom,with,floors
religious leader leads a procession towards church for prayer,leader,leads,procession
profession ploughing a field with a tractor followed by seagulls,profession,ploughing,field
clouds dissipate and mist rises from the forest in the northern mountains after an early morning,rises,from,forest
wide variety of seafood is seen for sale at the seafood and fish market,variety,of,seafood
sunlight descends into a mangrove forest .,sunlight,descends,forest
white cat with blue and brown eye among a bunch of books .,cat,with,eye
ring tailed lemurs resting in the shade,ring,tailed,shade
politicians talk with students while visiting a classroom,politicians,talk,students
young fans firing a flare on street before a match,fans,firing,flare
the village is distinct in its row of identical thatched cottages .,village,in,row
the dramatic view as ships enter the bay into port .,view,into,bay
a wedding car decorated with bouquets of white roses and other little flowers .,car,decorated,bouquets
a sleigh carrying the mail through a tunnel built by military commander,sleigh,carrying,mail
A small plane is parked at a runway.,plane,parked,runway
simplicity love the pockets on this dress,simplicity,love,pockets
A passenger bus approaches the intersection where there is a traffic light.,bus,approaches,intersection
coach is given a guard of honour from players,coach,given,guard
silvery plate with golden vintage an ornament on edges,plate,with,vintage
biological species flying with a fish,species,flying,fish
model showed off her apartment in the latest issue of magazine .,model,showed,apartment
flags flying by the harbour to celebrate their annual arts festival,flags,flying,harbour
Two giraffes eat from a tree in the wild.,giraffes,eat,tree
man and his horse taking a bath in the sea to cool down,man,taking,bath
statue of religious leader on the southern side,statue,of,leader
woman prays to deity as the sun rises .,woman,prays,deity
A train is on the tracks under a roof.,train,on,tracks
a square monochrome image of a lone tree at the head,image,of,tree
A plate containing several donuts with frosting and powdered sugar.,plate,containing,donuts
female dancer in white dress waving red fabric in the wind on summit .,dancer,in,dress
a mixture of old architecture and ultramodern buildings,mixture,of,architecture
purple cabbage and flowers in a vegetable garden,cabbage,in,garden
A pizza is served on a plate with water.,pizza,served,plate
group of scuba divers hover in the current behind a colourful soft coral reef,group,of,divers
gothic structure stands tall amidst the ruins of the city after bombings .,structure,stands,ruins
scarf over dress with ankle boots ways to style a classic scarf,scarf,over,dress
chairs add a touch of yellow to the industrial dining room,chairs,add,touch
Two sheep grazing in a pasture up in the hills.,sheep,grazing,pasture
engineers at the site of project .,engineers,at,site
the reservoir that supplies distillery with its water .,reservoir,supplies,distillery
Several men are working on the ground putting in the cement,men,working,ground
blue subway train in motion at the station,train,in,motion
vegetarian food products such as food for sale in a supermarket,products,as,food
a black cat with a damaged ear lying in the grass on a meadow,cat,with,ear
clouds appear over the mountains on a high plateau .,clouds,appear,mountains
number circled on a calendar,number,circled,calendar
branch with red apples in the orchard,branch,with,apples
structure descending into the valley with low cloud above,structure,descending,valley
shepherds lead their flocks near the amazing temples .,shepherds,lead,flocks
portrait of a nurse holding stethoscope at hospital,portrait,of,stethoscope
celebrity wearing a gown for her wedding .,celebrity,wearing,gown
An orange room with couches facing each other,room,with,couches
rocks and sea in the early morning a little harbour along south coast,rocks,in,morning
Food is laid out on a wooden tray.,Food,laid,tray
celebrity wears a white gown to the part .,celebrity,wears,gown
"The train is pulling into the station, the train is yellow and blue with balck windows.",train,pulling,station
a timber framed cottage with its roses in the garden,cottage,framed,roses
Two giraffes wander around in an enclosure. ,giraffes,wander,enclosure
An airplane on wet pavement surrounded by snow.,airplane,on,pavement
black and white butterfly resting on a leaf,butterfly,resting,leaf
the aircraft lands on the illuminated runway in the early morning,aircraft,on,runway
Bananas and cinnamon stuck in chocolate spread on a tortilla.,Bananas,stuck,chocolate
Several people are standing near a row of motorcycles.,people,standing,row
population all the organisms of a single species living in an area,population,of,species
A white tram stopped at a station between tall buildings,tram,stopped,station
mountain is shrouded by a form matching cloud as seen through the rock formations .,mountain,shrouded,cloud
players and manager bow their heads in remembrance during a minutes silence,players,bow,heads
A cat that is sleeping on some luggage.,cat,sleeping,luggage
"A bathroom has no mirror or shower curtain, blue and brown walls, and tan tile.",bathroom,has,mirror
the mosque of place of worship,mosque,of,place
trip begins with the sinister skies above a city .,trip,begins,skies
on a stormy day the ferry leaves harbour,leaves,on,day
federal structure was built replacing the original church .,structure,built,church
the equation of a line can be written in many different forms,equation,of,line
young woman practicing yoga on a floating platform in water on the lake during sunrise in the morning .,woman,practicing,yoga
a firefighter uses a hose to douse the flames of disaster .,firefighter,uses,hose
a closeup of a yellow flowers on a wind,closeup,of,flowers
woman gives a gift for man on holiday or new year,woman,gives,gift
ways of carrying a handbag,ways,of,handbag
Small blue stuffed elephant sitting on a luggage belt. ,blue,stuffed,belt
the concept of producing different types of pasta made from flour and eggs,concept,of,types
the engine has been painted for automobile model with the correct black color and sheen .,engine,painted,model
Large poster on wall behind white commode in dark tiled bathroom.,poster,on,wall
a blue patterned wallpaper adds character to the dining room .,wallpaper,patterned,character
a rock climber ascends a cliff,climber,ascends,cliff
a stained glass window the work of politician in the village,window,of,work
a bride with her hands painted with henna,bride,with,hands
biological species in the snow taken under controlled conditions,species,in,snow
A man trains a dog to attack.,man,trains,dog
tourist attraction shrouded in fog,attraction,shrouded,fog
flat screen tv installed above a heat producing fireplace,tv,installed,heat
An auction of a rich old mans estate has some of his furniture for sale,auction,of,estate
tourist attraction are the tallest twin towers of the world,attraction,of,world
incense being burnt in a temple,incense,burnt,temple
"A monitor, keyboard, mouse, laptop and speakers on a desk.",monitor,on,desk
bench in the shade of an oak tree,bench,in,shade
pure color off the shoulder short flare sleeved dress,color,off,flare
boxer with cheerleaders during a news conference to promote his fight against boxer .,boxer,with,cheerleaders
chef adding finishing touch on his dish before it goes on the table,chef,adding,touch
fireplace used in master bath to be seen from both the bath and bedroom,fireplace,used,bath
the orange leaves of a forest in autumn,leaves,of,forest
interest cut up fresh fish .,interest,cut,fish
canal and gondola on canal inside casino and hotel,canal,on,canal
black bear taking a refreshing dip in our garden pond .,bear,taking,dip
a deserted cafe on a cold autumn afternoon on the beach at the seaside resort,cafe,on,afternoon
medical team checking on sick patient in bed at the hospital,team,checking,patient
sun burst on top in winter,sun,burst,top
Two men and a woman standing in a parking lot by a doughnut shop.,men,standing,lot
audience listening intently to an event at festival,audience,listening,event
An elderly man with gray hair is smoking a cigar on a public bench.,man,with,hair
the foundation of a building under construction and a high tower crane,foundation,of,building
A zebra stands near a giraffe in the wilderness.,zebra,stands,giraffe
Several bags of stuffed toys lie on a parking lot.,bags,of,toys
silhouette of mother and daughter behind a bicycle,silhouette,of,mother
the flower leaves in the rain .,flower,leaves,rain
cruise ship heading out at dusk with the moon above .,ship,heading,dusk
red lanterns and a round cylindrical shape on a branch of cherry with pink flowers,lanterns,on,branch
styles her ripped up jeans with a classic trench and polished tote .,styles,ripped,jeans
the home was built on top of a trailer while he was still .,home,built,top
seamless pattern on the theme of autumn abstract leaves and clouds against the sky,pattern,on,theme
biological species and deity are decorated with flowers and garlands before the wedding,species,decorated,flowers
head coach substitutes football player during the match,coach,substitutes,player
high angle portrait of an extended family lying in circle at the park,portrait,of,family
a student shows off her diploma during commencement .,student,shows,diploma
matter and energy interacting in an arena of space and time .,matter,in,arena
type of place of worship of artwork showing a temple or place of worship and religious aspects,type,of,place
athlete looks on with rugby player during the training session .,athlete,looks,player
a great logo is essential to creating a strong brand identity .,logo,to,identity
"Hand raised, vainly trying to protect his face and head.",Hand,raised,face
intensive gardening allows a lot of produce to grow in a small space,gardening,allows,produce
celebrity wearing a purple evening gown at awards,celebrity,wearing,gown
a student receives a stole at graduation,student,receives,stole
aerial view of the field with trees covered with yellow foliage,view,of,field
elderly couple relax in the garden at home,couple,relax,garden
atoms have no overall charge and so contain the same number of protons as electrons .,atoms,have,charge
community college and village officials broke ground this week .,officials,broke,ground
president of organization leader greets players during match as part .,president,of,players
beach and pier with the tide going out,beach,with,tide
tourist attraction and a cargo ship and ferry moored along the harbour wall,attraction,moored,wall
this painting depicts the scene .,painting,depicts,scene
elderly man fixing the wisteria and gardening up a ladder in his garden at home,man,fixing,wisteria
a soldier takes a knee while providing security during a patrol outside of the village .,soldier,takes,knee
A breakfast of cereal and a banana sits on a placemat.,breakfast,of,cereal
a passing thunderstorm produces a rainbow,thunderstorm,passing,rainbow
the stream flows through the wall of the quarry,stream,flows,wall
a bath room with a toilet an a sticker on the wall,room,with,toilet
snowy village in the valley of wooded hills .,village,in,valley
boy throwing out fishing net on the beach,boy,throwing,net
people moving on flat escalators in a train station .,people,moving,escalators
horses eating dry hay at the pasture,horses,eating,hay
adding colors really makes a work of art feel alive .,work,makes,colors
A train crosses a bridge over a stream.,train,crosses,bridge
silver pattern in the form of flowers .,pattern,in,form
A professional motorcycle racer is turning the final corner of a race to win.,racer,turning,corner
big spider hanging on its web in the forest,spider,hanging,web
thick smoke fills the sky as the forest burns behind a home .,smoke,fills,sky
football player was named man of the match in the final,player,named,match
this is what the site listing category could look like with some hard work .,category,listing,work
vegetarian food products such as food for sale in a supermarket,products,as,food
fog over a snowy field at sunrise in winter,fog,over,field
doctor is examining a young child in a rural clinic,doctor,examining,child
detail of annual rings of a tree trunk in the forest .,detail,of,rings
politician is surrounded by singing women as she visits islamic place of worship,politician,surrounded,women
Someone is painting a green leaf and then shows the painting complete.,painting,painting,leaf
things every women should know about fashion,things,know,fashion
the horse of a brown color eats the dried up grass on a glade,horse,of,color
trees reflected in the river at sunrise,trees,reflected,river
brand has revealed automobile model at the motor show .,brand,revealed,model
journalist signs a copy of his latest book for fans at a bookstore .,journalist,signs,copy
visit tourist attraction where elephant drink simultaneously in the afternoon .,elephant,visit,attraction
A horse is pulling a plow.,horse,pulling,plow
adults and grown storks sitting in a nest,adults,grown,nest
Two giraffes are relaxing by laying in  a grassy field,giraffes,relaxing,field
a restaurant on a square in the old town,restaurant,on,square
time lapse of clouds passing over high mountain peaks .,lapse,of,clouds
a purchased trees to give to local residents .,trees,purchased,residents
carpet of autumn leaves in the lower garden,carpet,of,autumn
plastic litter washes up on a remote beach,litter,washes,beach
the eagles were roosting high in the trees .,eagles,roosting,trees
field of green wheat in a countryside,field,of,wheat
farm where hay is harvested for livestock and cattle food .,farm,harvested,food
hiking above high camp at ft. as the sun starts to rise on the morning .,sun,hiking,camp
a windmill at dusk with clouds in the sky,windmill,at,dusk
time lapse with sun rising over a city,lapse,with,city
image result for looking through a magnifying glass,result,for,glass
Small grey elephant standing in its cage alone.,elephant,standing,cage
A kitchen with white cabinets has an island with tall chairs.,kitchen,with,cabinets
two adult couples place bets in a casino,couples,place,bets
"Empty aqua bathroom with toilet, sink, mirror, and outside window.",bathroom,with,toilet
"A plate of meat next to some vegetables, gravy and other condiments.",plate,of,meat
The newscaster was giving a weather update on storm tracker abc 9 news.,newscaster,giving,update
federal republic highlighted in red .,republic,highlighted,red
Small airplane just above the ground on a runway facing a forrest. ,airplane,above,ground
lotus flower on floating lily pads in a pond,flower,on,pads
gift box colorful icon with long shadow isolated on a circle in flat style .,icon,with,shadow
a splash of green adds color to the serene bedroom,splash,of,color
A child at a national park tries to climb up a boulder.,child,at,park
a large ship far from ship in middle of sea,ship,from,ship
Different types of pizza are being sold behind the counter of this pizza restaurant.,types,of,pizza
Cat sniffing  a small stuffed bear next to a box.,Cat,sniffing,bear
sun rising on the horizon,sun,rising,horizon
the red carpet is reflected in the sunglasses of politician,carpet,reflected,sunglasses
religious leader meets the president at his private library,leader,meets,president
a bartender straining a cocktail from a mixing glass into cocktails .,bartender,straining,cocktail
the statue of liberty is passed by tourist attraction on a sunny day,statue,of,liberty
rescuers load a victim into an ambulance .,rescuers,load,victim
residents wade through the floodwater outside their home,residents,wade,floodwater
family having lunch at home talking about where to go for a summer holiday,family,having,lunch
digitally generated video of solar system with sun and planets in a row,video,generated,system
friends relaxing on the couch at home,friends,relaxing,couch
time lapse blue sky with clouds in a summer sunny day,sky,with,clouds
View of city and train moving on tracks.,View,of,city
Bay window in living room with couch and chairs with lamp,window,in,room
moon and saturn in dark space with a new sun coming to them,moon,in,space
Hot dogs wrapped with bacon and cheese are on buns. ,dogs,wrapped,bacon
Two lights glowing in the dark are twirled in patterns by an individuals hands.,lights,glowing,dark
hidden temple in the forest,temple,hidden,forest
two elephants standing next to each other in their pen,elephants,standing,pen
A toilet in a hole in the floor. ,toilet,in,hole
a store advertises that it is with a sign in its window,store,advertises,sign
politician listens to a question from a soldier .,politician,listens,question
a city carved from rock .,city,carved,rock
a city near town at dusk,city,near,town
view on blue sky over white clouds from the window of airplane,view,on,sky
things every dad needs to do for his daughter,things,needs,daughter
this image shows the central region in galaxy,image,shows,region
boats in the marina on a sunny spring morning,boats,in,marina
a city has been named the richest town becoming the only municipality selected among locations ranked nationally .,city,named,locations
icon depicting virgin and builder .,icon,depicting,virgin
A large room has brick fireplace with a sofa facing it.,room,has,fireplace
football player was injured by a tackle by footballer,player,injured,tackle
every flower is a soul blossoming in nature,flower,blossoming,nature
A couple of elephant statues standing in a museum.,couple,of,statues
larva of swallowtail butterfly in early stage with green colour mimicking a leaf,larva,of,butterfly
animator checks the details of his flight with customer,animator,checks,details
young woman practicing yoga on a floating platform in water on the lake during sunrise in the morning .,woman,practicing,yoga
large crowds saluting military commander as he appears on the balcony,crowds,saluting,commander
A passenger plane that has some stairs leading up to the fuselage.,plane,has,stairs
a football floats in a pool of rainwater beside the pitch,floats,in,pool
workers hang red banners beside a huge poster of philosopher,workers,hang,banners
a temporary banner will cover the site during construction,banner,cover,site
weddings are held according to the tradition .,weddings,held,tradition
granddaughter teaches her grandmother to type on the laptop,granddaughter,teaches,grandmother
players come off the pitch after the match .,players,come,pitch
An abandoned train with a tree growing on it by a building.,train,abandoned,tree
general view of a camp site as rain falls during day of festival .,view,of,site
the app lets you visit several countries around the world .,app,lets,countries
builder died on the cross for our sins,builder,died,cross
sunny beach with few clouds and bright sun from which glowing reflections,beach,with,clouds
black smoke coming out of a building on fire,smoke,coming,building
clouds moving over mountain on a summer morning after sunrise,clouds,moving,mountain
rock formation resembling an elephant,formation,resembling,elephant
The band is recording their show to make an album.,band,recording,show
the balloon has been flying for quite some time .,balloon,flying,time
bridge connecting a city over country,bridge,connecting,city
these beautiful puppies will grow into very large dogs requiring a lot of care .,puppies,grow,dogs
farmers ploughing a field next to their farm,farmers,ploughing,field
a model wears a creation from collection during fashion week .,model,wears,creation
corn field gently swaying in the wind up close slow motion shot into the sunlight,field,swaying,wind
type of dish on holiday from celebrities,type,of,dish
Blue baskets filled with florida oranges for sale,baskets,filled,oranges
The spire with the clock faces reaches towards the sky.,spire,with,clock
speaker of politician takes questions during his weekly press conference .,speaker,of,politician
the massive tree is hoisted into place with the help of a crane .,tree,hoisted,place
paintings at the station to increase awareness among tourists about conservation .,paintings,at,station
protective mother duck and her ducklings on a nest,duck,on,nest
An antelope grazing on grass next to a zebra.,antelope,grazing,grass
"A pizza that has pepperoni, olives, onion, bell pepper, and mushroom.",pizza,has,pepperoni
athlete returns an interception for a touchdown during the game saturday afternoon .,athlete,returns,interception
baskets of fresh strawberries for sale at the farmers market,baskets,of,strawberries
some shells pass under a marker marked 7,shells,pass,marker
The giraffe is eating the grass near the rocks,giraffe,eating,grass
storage ideas around the headboard to fit style of room,ideas,around,headboard
soccer player gave united the lead with a fine strike in the first half,player,united,lead
a single pink water lily with its reflection in a pond inside a temple,lily,with,reflection
fast moving sun in the sky at sunrise,sun,moving,sky
sunlight beams through a tree .,beams,through,tree
hands of politician from the statue at his memorial,hands,of,politician
politician strolling with chef during event .,politician,strolling,chef
"A whole pizza with toppings such as green peppers, onions, pepperoni and cheese. ",pizza,with,toppings
clouds hovering on the mountain peaks,clouds,hovering,peaks
wedding cake with strawberries in the shape of hearts,cake,with,strawberries
Glazed doughnuts on cookie sheet near doughnut machine.,doughnuts,Glazed,sheet
activists of religious party are holding a protest demonstration against government as they are demanding,activists,of,party
a digital watercolour painting of passengers in an underground train .,painting,of,passengers
bow ties to work ... living dangerously in the south .,ties,bow,south
Two female students are demonstrating how to place a slide under a microscope.,students,demonstrating,slide
An elephant in the water inside its exhibit.,elephant,in,water
cities around the world everyone should travel to alone,cities,around,world
"A plate of macaroon cookies, bananas and chocolate.",plate,of,cookies
the christmas market in front of the old town hall is framed by snowy roofs,market,in,front
An Asian fish market with fish being cut up for sale.,market,with,fish
Noodles and vegetables sit in a container on the counter. ,Noodles,sit,container
how did horses and traders change the way of life of ethnicity in fiction,horses,change,way
family resting in the grass,family,resting,grass
The clown is running from the bull.,clown,running,bull
nurse showing a teddy bear to a child in hospital ward,nurse,showing,bear
little girl smiling as the doctor checks her heart beat with a stethoscope,girl,smiling,heart
A guy cutting off another guy's cast from his arm.,guy,cutting,cast
A toilet that is in a bathroom near tools.,toilet,in,bathroom
a hillside glows with embers as the fire burns through protected site .,hillside,glows,embers
an army soldier stands guard during a patrol in the district .,soldier,stands,guard
silk pink heart with a ribbon .,heart,with,ribbon
students raising clenched fists above the crowd at rally in support,students,raising,fists
Sheep and their tagged lambs rest in hay,Sheep,tagged,hay
part of the trunk of an older tree,part,of,trunk
local women are harvesting potatoes on a green field,women,harvesting,potatoes
the stream of clouds in the sky .,stream,of,clouds
A train is carrying a white car off on the tracks. ,train,carrying,car
things you should know before painting a room,things,know,room
a traditional built french villa style property with central heating and separate habitable wooden chalet close to village,property,built,heating
A tray containing many pastries including donuts and lemon squares.,tray,containing,pastries
tower covered in scaffolding during renovation .,tower,covered,renovation
a classroom of young students reading a lesson from their textbook,classroom,of,students
Giraffes and zebras living together in perfect harmony in a zoo habitat.,Giraffes,living,harmony
chef puts the finishing touches on his dish,chef,puts,touches
winner hands up grainy textured eco green icon for overlay watermark stamps .,winner,hands,grainy
glacial lake with isolated peaks reached by a mile hike,lake,with,peaks
politician delivers his speech to the conference,politician,delivers,speech
terminals and aircraft stands seen across the apron,terminals,seen,apron
the balcony of a home in the historic district,balcony,of,home
barge working near the port,barge,near,port
passengers passed through airport in the month of may,passengers,passed,airport
almost every building in old part has its own cafe or restaurant in first floor or in a cellar,building,in,part
female surfers leaving the sea,surfers,leaving,sea
A vehicle trailing an airplane on a tarmac.,vehicle,trailing,airplane
ancient geologic events may have left deep that can come to life and play a role in earthquakes .,events,left,life
the complete range of white bedroom furniture for excellent storage,range,of,furniture
lead singer performs at the concert,singer,performs,concert
a city that developed around the mouth was us county .,city,developed,mouth
the apartments for sale and rent,apartments,for,sale
i love that the cake showed her age in wolf years .,cake,love,age
a pan of pizza on a wooden surface,pan,of,pizza
quarters rear view at sunrise in autumn seen from a public garden,quarters,at,sunrise
footballer in action for football team against a city .,footballer,in,action
A group of airplanes are parked at a runway and a truck is parked next to a plane.,group,of,airplanes
shrubs are an easy way to create green space and privacy in even the smallest urban gardens,shrubs,create,space
aerial view and type of place of worship in sunrise,view,of,place
strategy and decisions concept with a textured asphalt road and old painted yellow arrows pointing in opposite,strategy,concept,road
public company arrives in the city of state,company,arrives,city
a fleet of container ships loading and unloading cargo in the port,fleet,of,loading
A mirror with the reflection of a yellow train in it.,mirror,with,reflection
portrait of happy boy and girl showing thumbs up gesture .,portrait,of,boy
education of students in an elementary classroom,education,of,students
The women finish their routine together and end with their bows and waving them off.,women,finish,routine
Four suitcases are stacked with two baskets on top.,suitcases,stacked,baskets
customer buying a car at dealership,customer,buying,car
Foot long hotdogs on a piece of bread smothered in baked beans and cheese,hotdogs,on,piece
A man is out in the water using a ridged pan to pan for gold.,man,in,water
an unknown species of little brown mushroom grows from the mossy forest floor .,species,of,mushroom
the chic way to decorate your home for holiday,way,decorate,home
a beautiful meadow filled with wild flowers,meadow,filled,flowers
the mountain stream flows through national park,stream,flows,park
a simple way to emphasize the organic beauty of flowers in a modern way ...,way,emphasize,beauty
meeting were held here between the president and his ministers,meeting,held,president
boats on the rocks during a storm,boats,on,rocks
silhouette of traditional fisherman with the fishing boat going to fishing during beautiful sunrise in village,silhouette,of,fisherman
a satellite being launched into space by a rocket .,satellite,launched,space
two black and white clocks on a black clock tower and clouds ,clocks,on,tower
politician delivers a closing speech to delegates at a convention .,politician,delivers,speech
the first bridge spans the gorge over the first of waterfalls and cascades .,bridge,spans,gorge
